SOURCE,FREQUENCY,GEOLEVEL,GEOID,GEONAME,MARKET,PERIOD,YEAR,QUARTER,MONTH,SUPPRESSED,AVE_DTI,AVE_INTRATE,AVE_LOANAMT,AVE_PROPVAL,AVE_TERM,AVE_VANTAGESCR,PCT_ARM,PCT_CASHOUT,PCT_DTI_3743,PCT_DTI_GE44,PCT_DTI_LE36,PCT_FTHB,PCT_HP,PCT_OTH_REFI,PCT_OWNOCC,PCT_REFI,PCT_REPEATHB,PCT_TERM_FRM_15,PCT_TERM_FRM_30,PCT_VS_FAIR,PCT_VS_GOOD,PCT_VS_POOR,PCT_VS_VERYPOOR,TOT_ORIG,AVE_DTI,AVE_INTRATE,AVE_LOANAMT,AVE_PROPVAL,AVE_TERM,AVE_VANTAGESCR,PCT_ARM,PCT_CASHOUT,PCT_DTI_3743,PCT_DTI_GE44,PCT_DTI_LE36,PCT_FTHB,PCT_HP,PCT_OTH_REFI,PCT_OWNOCC,PCT_REFI,PCT_REPEATHB,PCT_TERM_FRM_15,PCT_TERM_FRM_30,PCT_VS_FAIR,PCT_VS_GOOD,PCT_VS_POOR,PCT_VS_VERYPOOR,TOT_ORIG
NMDB,Annual,State,AK,Alaska,All Mortgages,1998,1998,4,12,0,31.1,6.9,120,154,24.5,708,2,16.3,21.5,10.5,68,,50.3,33.4,96.8,49.7,,28.9,69.1,15.6,51,9.1,2,26,32.8,6.9,,,26.2,711,2.6,15.9,23.7,12.2,64.1,,52.3,31.8,97.3,47.7,,21.1,76.3,14.7,53.7,8.5,1.6,3129
NMDB,Annual,State,AK,Alaska,All Mortgages,1999,1999,4,12,0,33.3,7.2,125,161,25,692,3.3,18.5,22.7,17.4,60,,63.6,17.8,96.2,36.4,,26,70.7,19.5,50.5,11.9,2.4,19,35,7.2,,,27.1,696,3.6,18.8,24.5,20.5,55,,65.7,15.5,97.6,34.3,,16.6,79.8,18.7,53.3,9.6,2.7,2364
NMDB,Annual,State,AK,Alaska,All Mortgages,2000,2000,4,12,0,35.2,8,127,161,25.9,689,3.2,14.2,24,22,54,,73.5,12.3,96,26.5,,18.8,78,22.5,51,12.3,1.6,13,37.5,8,,,27.8,692,2.6,12.9,25,27.1,47.9,,77.8,9.3,96.8,22.2,,11,86.4,22,51.7,12,1.1,1591
NMDB,Annual,State,AK,Alaska,All Mortgages,2001,2001,4,12,0,34.1,6.9,137,181,25,699,3.6,22.4,21.8,21.7,56.5,,46.1,31.5,95.5,53.9,,27.1,69.4,22.9,52.4,8.5,0.3,23,35.4,6.9,,,26.6,701,4.3,22.1,24.1,23.6,52.3,,47,30.9,96.1,53,,19.9,75.7,22.4,53.5,7.8,0.3,3133
NMDB,Annual,State,AK,Alaska,All Mortgages,2002,2002,4,12,0,33.4,6.3,152,204,24.4,712,6.3,21.7,19.6,21.5,58.9,,41.9,36.3,95.1,58.1,,32.5,61.1,18.8,53,7,0.1,29,34.7,6.4,,,25.5,712,8.2,21.7,20.8,24.4,54.8,,42.7,35.6,95.2,57.3,,26,65.8,19.1,54.8,6.2,0.1,4457
NMDB,Annual,State,AK,Alaska,All Mortgages,2003,2003,4,12,0,33.7,5.6,158,214,24.1,710,10.4,25.9,19.8,22.3,57.9,,28.9,45.1,93,71.1,,34.5,55.1,19.8,54.6,6.3,0.4,40,34.9,5.6,,,25.2,708,12.9,25.7,20.8,24.7,54.5,,30.2,44.1,94,69.8,,28.9,58.2,20.8,55.9,5.8,0.4,6318
NMDB,Annual,State,AK,Alaska,All Mortgages,2004,2004,4,12,0,37.3,6,172,222,26.5,694,22.1,25.3,22.8,30.9,46.3,25.3,51.3,23.4,90.5,48.7,26,18.4,59.5,22.5,51,10.2,0.5,26,38.6,5.9,,,27.4,694,26.6,25.2,23.9,34,42.1,24.3,52.9,21.9,91.8,47.1,28.6,13.5,59.9,22.5,53,9.4,0.5,4392
NMDB,Annual,State,AK,Alaska,All Mortgages,2005,2005,4,12,0,37.7,6.2,187,241,27.5,694,22.6,29.9,22.8,33.7,43.6,22.4,52.1,18.1,90.3,47.9,29.6,12.8,64.6,26,50.5,8.9,0.3,24,38.8,6.2,,,28.6,694,26.8,31.2,24,37,39.1,21,51.5,17.3,91.4,48.5,30.5,7.8,65.4,27.3,50.4,8.3,0.2,4463
NMDB,Annual,State,AK,Alaska,All Mortgages,2006,2006,4,12,0,39.8,7,206,265,28.5,686,20.5,30.8,25.1,37.8,37,24.9,57.1,12.2,91.7,42.9,32.2,9.6,69.9,26.7,48.7,11.6,0.4,22,40.7,6.8,,,29.3,689,23.7,32.8,25.4,40.2,34.4,22.2,54.3,12.9,93,45.7,32.1,6,70.3,26.4,51.2,10.2,0.4,4443
NMDB,Annual,State,AK,Alaska,All Mortgages,2007,2007,4,12,0,39.6,6.8,210,267,28,699,7.4,33,23,38.8,38.2,25.5,55.2,11.8,91.9,44.8,29.7,11.8,80.8,22.3,50.8,10.2,0,20,40.6,6.7,,,28.9,701,9.1,33.2,24.6,41.2,34.1,24.2,55.1,11.8,92.2,44.9,30.9,7.9,83,22,52.7,9,0,4268
NMDB,Annual,State,AK,Alaska,All Mortgages,2008,2008,4,12,0,38.2,6,224,280,27.4,706,2.7,30.9,21.3,34.9,43.8,24.5,50.7,18.4,93.6,49.3,26.2,15.6,81.7,22.2,50.6,7.9,0.1,18,38.9,6,,,28.2,709,3.6,30.3,22.7,36.4,40.9,22.2,51,18.7,94.7,49,28.8,11.7,84.7,21.5,50.7,7.3,0.1,3964
NMDB,Annual,State,AK,Alaska,All Mortgages,2009,2009,4,12,0,34.5,5,221,293,27.2,730,1.5,27.5,21.1,22.8,56.1,17.9,33.3,39.3,96.7,66.7,15.4,16.4,82.1,14.3,53.3,3.3,0,26,35,5,,,27.9,730,1.4,27.1,21.9,23.2,54.9,16.7,32.7,40.2,97.2,67.3,16,12.1,86.4,15,52.9,3,0,5810
